店铺所在地	菜品类别	消费日期	消费金额	消费数量（单个菜品）
广州	其他水产	2016-08-04	690	1
广州	其他水产	2016-08-06	721	1
广州	其他水产	2016-08-07	720	1
广州	其他水产	2016-08-10	708	1
广州	其他水产	2016-08-12	213	1
广州	其他水产	2016-08-16	823	1
广州	其他水产	2016-08-19	703	1
广州	其他水产	2016-08-20	300	1
广州	其他水产	2016-08-24	1304	2
广州	其他水产	2016-08-28	1032	1
广州	其他水产	2016-08-30	349	1
广州	其他肉类	2016-08-01	164	1
广州	其他肉类	2016-08-02	498	1
广州	其他肉类	2016-08-04	1527	2
广州	其他肉类	2016-08-05	693	1
广州	其他肉类	2016-08-10	1620	2
广州	其他肉类	2016-08-12	1115	2
广州	其他肉类	2016-08-14	456	1
广州	其他肉类	2016-08-20	1018	2
广州	其他肉类	2016-08-23	532	1
广州	其他肉类	2016-08-24	1304	2
广州	其他肉类	2016-08-25	594	1
广州	其他肉类	2016-08-26	795	1
广州	其他肉类	2016-08-27	1055	1
广州	其他肉类	2016-08-28	4056	5
广州	其他肉类	2016-08-29	2340	4
广州	其他肉类	2016-08-31	1780	2
广州	叶菜类	2016-08-01	2022	4
广州	叶菜类	2016-08-02	632	2
广州	叶菜类	2016-08-03	1441	3
广州	叶菜类	2016-08-04	837	1
广州	叶菜类	2016-08-05	2815	5
广州	叶菜类	2016-08-06	2542	5
广州	叶菜类	2016-08-07	912	2
广州	叶菜类	2016-08-10	4474	7
广州	叶菜类	2016-08-11	1288	3
广州	叶菜类	2016-08-12	1207	3
广州	叶菜类	2016-08-13	1087	3
广州	叶菜类	2016-08-14	3770	7
广州	叶菜类	2016-08-16	1646	2
广州	叶菜类	2016-08-18	233	2
广州	叶菜类	2016-08-20	2057	5
广州	叶菜类	2016-08-21	9400	14
广州	叶菜类	2016-08-22	755	2
广州	叶菜类	2016-08-23	2531	4
广州	叶菜类	2016-08-24	1808	3
广州	叶菜类	2016-08-25	96	1
广州	叶菜类	2016-08-26	1896	3
广州	叶菜类	2016-08-27	687	2
广州	叶菜类	2016-08-28	5433	7
广州	叶菜类	2016-08-29	1371	3
广州	叶菜类	2016-08-30	808	2
广州	叶菜类	2016-08-31	2349	3
广州	啤酒类	2016-08-01	886	2
广州	啤酒类	2016-08-05	693	1
广州	啤酒类	2016-08-06	721	2
广州	啤酒类	2016-08-12	185	2
广州	啤酒类	2016-08-13	424	2
广州	啤酒类	2016-08-14	456	1
广州	啤酒类	2016-08-15	336	6
广州	啤酒类	2016-08-29	718	4
广州	家禽类	2016-08-01	1869	4
广州	家禽类	2016-08-02	502	3
广州	家禽类	2016-08-04	690	1
广州	家禽类	2016-08-07	1249	2
广州	家禽类	2016-08-10	2798	5
广州	家禽类	2016-08-11	1242	3
广州	家禽类	2016-08-12	1719	3
广州	家禽类	2016-08-14	431	1
广州	家禽类	2016-08-15	2596	4
广州	家禽类	2016-08-17	405	1
广州	家禽类	2016-08-19	1999	3
广州	家禽类	2016-08-20	2297	3
广州	家禽类	2016-08-21	1321	2
