店铺所在地	菜品类别	消费日期	消费金额	消费数量（单个菜品）
珠海	其他水产	2016-08-04	1006	1
珠海	其他水产	2016-08-13	636	1
珠海	其他水产	2016-08-21	425	1
珠海	其他肉类	2016-08-02	238	1
珠海	其他肉类	2016-08-04	1006	1
珠海	其他肉类	2016-08-07	720	1
珠海	其他肉类	2016-08-09	403	1
珠海	其他肉类	2016-08-13	636	1
珠海	其他肉类	2016-08-21	655	1
珠海	其他肉类	2016-08-26	321	1
珠海	叶菜类	2016-08-03	1436	2
珠海	叶菜类	2016-08-04	1006	1
珠海	叶菜类	2016-08-05	159	1
珠海	叶菜类	2016-08-07	720	1
珠海	叶菜类	2016-08-09	403	1
珠海	叶菜类	2016-08-13	1548	3
珠海	叶菜类	2016-08-15	1614	2
珠海	叶菜类	2016-08-21	1930	4
珠海	叶菜类	2016-08-26	408	1
珠海	叶菜类	2016-08-27	551	1
珠海	啤酒类	2016-08-15	807	1
珠海	家禽类	2016-08-02	238	1
珠海	家禽类	2016-08-21	786	2
珠海	家禽类	2016-08-26	729	2
珠海	家禽类	2016-08-27	551	1
珠海	果菜类	2016-08-04	1006	1
珠海	果菜类	2016-08-10	155	1
珠海	果菜类	2016-08-13	516	1
珠海	果菜类	2016-08-21	131	1
珠海	果菜类	2016-08-27	551	1
珠海	根菜类	2016-08-04	1006	1
珠海	根菜类	2016-08-09	201	1
珠海	根菜类	2016-08-10	155	1
珠海	根菜类	2016-08-13	1272	2
珠海	根菜类	2016-08-26	321	1
珠海	根菜类	2016-08-28	459	1
珠海	海藻类	2016-08-13	636	1
珠海	海藻类	2016-08-15	807	1
珠海	海藻类	2016-08-26	321	1
珠海	海藻类	2016-08-28	459	1
珠海	牛肉类	2016-08-02	238	1
珠海	牛肉类	2016-08-04	1006	1
珠海	牛肉类	2016-08-07	720	1
珠海	牛肉类	2016-08-09	604	2
珠海	牛肉类	2016-08-13	636	1
珠海	牛肉类	2016-08-15	1483	3
珠海	牛肉类	2016-08-21	1080	2
珠海	牛肉类	2016-08-27	551	1
珠海	猪肉类	2016-08-03	2872	4
珠海	猪肉类	2016-08-04	1006	1
珠海	猪肉类	2016-08-07	2880	4
珠海	猪肉类	2016-08-09	604	2
珠海	猪肉类	2016-08-15	807	1
珠海	猪肉类	2016-08-26	408	1
珠海	猪肉类	2016-08-27	1102	2
珠海	甜点类	2016-08-15	338	1
珠海	白酒类	2016-08-13	1152	2
珠海	米饭类	2016-08-01	294	1
珠海	米饭类	2016-08-03	718	1
珠海	米饭类	2016-08-04	2012	3
珠海	米饭类	2016-08-05	159	1
珠海	米饭类	2016-08-07	720	1
珠海	米饭类	2016-08-09	604	2
珠海	米饭类	2016-08-10	155	1
珠海	米饭类	2016-08-13	1277	4
珠海	米饭类	2016-08-15	1952	3
珠海	米饭类	2016-08-21	556	6
珠海	米饭类	2016-08-26	1313	3
珠海	米饭类	2016-08-27	551	1
珠海	米饭类	2016-08-28	459	3
珠海	粥类	2016-08-09	403	1
珠海	粥类	2016-08-15	807	1
珠海	粥类	2016-08-26	408	1
珠海	糕点类	2016-08-02	238	1
珠海	糕点类	2016-08-04	2012	2
珠海	糕点类	2016-08-13	1272	2
珠海	糕点类	2016-08-15	807	1
珠海	红酒类	2016-08-04	1006	1
珠海	红酒类	2016-08-09	403	1
珠海	红酒类	2016-08-15	807	1
珠海	红酒类	2016-08-26	584	1
珠海	羊肉类	2016-08-03	1436	2
珠海	羊肉类	2016-08-04	1006	1
珠海	羊肉类	2016-08-05	159	1
珠海	羊肉类	2016-08-07	720	1
珠海	羊肉类	2016-08-09	403	1
珠海	羊肉类	2016-08-10	155	1
珠海	羊肉类	2016-08-13	636	1
珠海	羊肉类	2016-08-15	807	1
珠海	羊肉类	2016-08-21	2160	4
珠海	羊肉类	2016-08-28	1377	3
珠海	肠粉类	2016-08-02	238	1
珠海	肠粉类	2016-08-13	636	1
珠海	肠粉类	2016-08-15	807	1
珠海	花菜类	2016-08-01	294	1
珠海	花菜类	2016-08-02	238	1
珠海	花菜类	2016-08-09	604	2
珠海	花菜类	2016-08-13	125	1
珠海	花菜类	2016-08-21	655	1
珠海	花菜类	2016-08-26	905	2
珠海	花菜类	2016-08-27	1102	2
珠海	茎菜类	2016-08-01	588	2
珠海	茎菜类	2016-08-04	2012	2
珠海	茎菜类	2016-08-05	159	1
珠海	茎菜类	2016-08-09	403	1
珠海	茎菜类	2016-08-13	1793	4
珠海	茎菜类	2016-08-15	1821	4
珠海	茎菜类	2016-08-21	425	1
珠海	茎菜类	2016-08-26	584	1
珠海	茎菜类	2016-08-27	551	1
珠海	茎菜类	2016-08-28	459	1
珠海	虾类	2016-08-01	294	1
珠海	虾类	2016-08-03	718	1
珠海	虾类	2016-08-04	1006	1
珠海	虾类	2016-08-07	720	1
珠海	虾类	2016-08-13	636	1
珠海	虾类	2016-08-15	1145	2
珠海	虾类	2016-08-21	425	1
珠海	虾类	2016-08-26	992	2
珠海	虾类	2016-08-27	551	1
珠海	虾类	2016-08-28	459	1
珠海	蟹类	2016-08-03	718	1
珠海	蟹类	2016-08-04	1006	1
珠海	蟹类	2016-08-13	516	1
珠海	蟹类	2016-08-21	655	1
珠海	蟹类	2016-08-27	551	1
珠海	蟹类	2016-08-28	459	1
珠海	贝壳类	2016-08-03	718	1
珠海	贝壳类	2016-08-09	403	1
珠海	贝壳类	2016-08-10	155	1
珠海	贝壳类	2016-08-13	125	1
珠海	贝壳类	2016-08-21	556	2
珠海	面包类	2016-08-03	718	1
