店铺所在地	菜品类别	消费日期	消费金额	消费数量（单个菜品）
广州	其他水产	2016-08-01	511	1
广州	其他水产	2016-08-03	350	1
广州	其他水产	2016-08-08	405	1
广州	其他水产	2016-08-18	617	1
广州	其他水产	2016-08-20	517	1
广州	其他水产	2016-08-25	456	1
广州	其他水产	2016-08-31	735	1
广州	其他肉类	2016-08-01	2100	3
广州	其他肉类	2016-08-03	137	1
广州	其他肉类	2016-08-05	250	1
广州	其他肉类	2016-08-06	435	1
广州	其他肉类	2016-08-08	1436	3
广州	其他肉类	2016-08-12	380	1
广州	其他肉类	2016-08-13	619	1
广州	其他肉类	2016-08-16	281	1
广州	其他肉类	2016-08-20	591	1
广州	其他肉类	2016-08-24	632	2
广州	其他肉类	2016-08-28	2232	3
广州	其他肉类	2016-08-31	262	1
广州	叶菜类	2016-08-01	5087	8
广州	叶菜类	2016-08-05	507	1
广州	叶菜类	2016-08-06	4556	6
广州	叶菜类	2016-08-07	888	2
广州	叶菜类	2016-08-08	2302	4
广州	叶菜类	2016-08-10	582	1
广州	叶菜类	2016-08-11	438	1
广州	叶菜类	2016-08-12	1344	4
广州	叶菜类	2016-08-13	4547	8
广州	叶菜类	2016-08-17	1311	3
广州	叶菜类	2016-08-18	2007	3
广州	叶菜类	2016-08-19	1821	3
广州	叶菜类	2016-08-20	2444	4
广州	叶菜类	2016-08-21	1319	4
广州	叶菜类	2016-08-22	578	1
广州	叶菜类	2016-08-25	456	1
广州	叶菜类	2016-08-26	1262	2
广州	叶菜类	2016-08-27	1673	4
广州	叶菜类	2016-08-28	4435	8
广州	叶菜类	2016-08-29	406	2
广州	叶菜类	2016-08-30	413	2
广州	啤酒类	2016-08-01	2237	7
广州	啤酒类	2016-08-05	378	2
广州	啤酒类	2016-08-06	662	2
广州	啤酒类	2016-08-13	795	4
广州	啤酒类	2016-08-27	303	4
广州	啤酒类	2016-08-28	670	1
广州	家禽类	2016-08-03	487	2
广州	家禽类	2016-08-05	1199	3
广州	家禽类	2016-08-06	7638	10
广州	家禽类	2016-08-07	250	1
广州	家禽类	2016-08-08	782	1
广州	家禽类	2016-08-10	582	1
广州	家禽类	2016-08-11	438	1
广州	家禽类	2016-08-12	152	1
广州	家禽类	2016-08-13	1334	2
广州	家禽类	2016-08-14	756	2
广州	家禽类	2016-08-15	967	3
广州	家禽类	2016-08-17	598	1
广州	家禽类	2016-08-18	617	1
广州	家禽类	2016-08-20	1927	3
广州	家禽类	2016-08-24	738	2
广州	家禽类	2016-08-25	2962	3
广州	家禽类	2016-08-26	494	1
广州	家禽类	2016-08-27	1573	4
广州	家禽类	2016-08-28	1756	3
广州	家禽类	2016-08-31	735	1
广州	果菜类	2016-08-01	700	1
广州	果菜类	2016-08-03	487	2
广州	果菜类	2016-08-04	705	1
广州	果菜类	2016-08-05	346	1
广州	果菜类	2016-08-06	379	1
广州	果菜类	2016-08-08	794	2
广州	果菜类	2016-08-12	432	1
广州	果菜类	2016-08-13	1334	2
广州	果菜类	2016-08-14	378	1
广州	果菜类	2016-08-15	307	1
广州	果菜类	2016-08-18	1929	3
广州	果菜类	2016-08-19	617	1
广州	果菜类	2016-08-20	2331	4
广州	果菜类	2016-08-24	263	1
广州	果菜类	2016-08-25	266	1
广州	果菜类	2016-08-26	494	1
广州	果菜类	2016-08-27	759	2
广州	果菜类	2016-08-28	1451	2
广州	根菜类	2016-08-01	678	2
广州	根菜类	2016-08-02	211	1
广州	根菜类	2016-08-05	250	1
广州	根菜类	2016-08-06	1636	3
广州	根菜类	2016-08-07	578	2
广州	根菜类	2016-08-08	1755	4
广州	根菜类	2016-08-09	356	1
广州	根菜类	2016-08-11	438	1
广州	根菜类	2016-08-12	432	1
广州	根菜类	2016-08-13	314	1
广州	根菜类	2016-08-15	938	2
广州	根菜类	2016-08-16	163	1
广州	根菜类	2016-08-17	475	1
广州	根菜类	2016-08-19	452	1
广州	根菜类	2016-08-20	2499	7
广州	根菜类	2016-08-22	1424	2
广州	根菜类	2016-08-23	210	1
广州	根菜类	2016-08-27	1187	4
广州	根菜类	2016-08-28	2552	4
广州	根菜类	2016-08-31	383	2
广州	海藻类	2016-08-05	596	2
广州	海藻类	2016-08-06	878	1
广州	海藻类	2016-08-07	1142	2
广州	海藻类	2016-08-08	1187	2
广州	海藻类	2016-08-10	582	1
广州	海藻类	2016-08-12	321	2
广州	海藻类	2016-08-13	619	1
广州	海藻类	2016-08-19	617	1
广州	海藻类	2016-08-20	591	1
广州	海藻类	2016-08-27	459	1
广州	海藻类	2016-08-28	956	2
广州	海藻类	2016-08-31	262	1
广州	牛肉类	2016-08-06	4157	4
广州	牛肉类	2016-08-07	1396	3
广州	牛肉类	2016-08-08	4832	8
广州	牛肉类	2016-08-09	356	1
广州	牛肉类	2016-08-10	628	2
广州	牛肉类	2016-08-11	438	1
广州	牛肉类	2016-08-12	378	1
广州	牛肉类	2016-08-13	1863	3
广州	牛肉类	2016-08-15	1407	3
广州	牛肉类	2016-08-16	281	1
广州	牛肉类	2016-08-17	1434	3
广州	牛肉类	2016-08-18	617	1
广州	牛肉类	2016-08-19	2201	4
广州	牛肉类	2016-08-20	1639	3
广州	牛肉类	2016-08-21	1031	1
广州	牛肉类	2016-08-22	712	1
广州	牛肉类	2016-08-23	420	2
广州	牛肉类	2016-08-24	369	1
广州	牛肉类	2016-08-25	2506	2
广州	牛肉类	2016-08-26	1125	2
广州	牛肉类	2016-08-27	634	2
广州	牛肉类	2016-08-28	937	2
广州	牛肉类	2016-08-30	540	2
广州	牛肉类	2016-08-31	997	2
广州	猪肉类	2016-08-01	1575	3
广州	猪肉类	2016-08-04	1410	2
广州	猪肉类	2016-08-05	1014	2
广州	猪肉类	2016-08-06	6054	9
广州	猪肉类	2016-08-07	1142	2
广州	猪肉类	2016-08-08	3041	5
广州	猪肉类	2016-08-12	378	1
广州	猪肉类	2016-08-13	4480	7
广州	猪肉类	2016-08-15	706	2
广州	猪肉类	2016-08-18	695	1
广州	猪肉类	2016-08-19	4529	7
广州	猪肉类	2016-08-20	3480	6
广州	猪肉类	2016-08-21	1486	2
广州	猪肉类	2016-08-22	578	1
广州	猪肉类	2016-08-24	263	1
广州	猪肉类	2016-08-25	4215	4
广州	猪肉类	2016-08-26	494	1
广州	猪肉类	2016-08-27	2200	4
广州	猪肉类	2016-08-28	6520	11
广州	猪肉类	2016-08-31	735	1
广州	甜点类	2016-08-02	211	1
广州	甜点类	2016-08-03	350	1
广州	甜点类	2016-08-04	1410	2
广州	甜点类	2016-08-05	535	2
广州	甜点类	2016-08-06	1709	3
广州	甜点类	2016-08-07	698	1
广州	甜点类	2016-08-08	1150	2
广州	甜点类	2016-08-10	582	1
广州	甜点类	2016-08-12	380	1
广州	甜点类	2016-08-15	469	1
广州	甜点类	2016-08-17	598	1
广州	甜点类	2016-08-20	445	1
广州	甜点类	2016-08-22	712	1
广州	甜点类	2016-08-25	456	1
广州	甜点类	2016-08-26	631	1
广州	甜点类	2016-08-27	300	1
广州	甜点类	2016-08-28	800	1
广州	白酒类	2016-08-08	747	1
广州	白酒类	2016-08-11	438	1
广州	白酒类	2016-08-15	469	1
广州	白酒类	2016-08-17	475	1
广州	白酒类	2016-08-20	704	1
广州	白酒类	2016-08-21	1031	1
广州	白酒类	2016-08-22	578	1
广州	白酒类	2016-08-25	1253	2
广州	白酒类	2016-08-28	781	1
广州	米饭类	2016-08-01	1378	4
广州	米饭类	2016-08-02	299	1
广州	米饭类	2016-08-03	350	1
广州	米饭类	2016-08-05	1292	5
广州	米饭类	2016-08-06	3769	9
广州	米饭类	2016-08-07	1431	3
广州	米饭类	2016-08-08	2897	6
广州	米饭类	2016-08-09	356	1
广州	米饭类	2016-08-10	314	1
广州	米饭类	2016-08-11	613	2
广州	米饭类	2016-08-12	1359	10
广州	米饭类	2016-08-13	4579	9
广州	米饭类	2016-08-15	307	1
广州	米饭类	2016-08-16	444	2
广州	米饭类	2016-08-17	1549	4
广州	米饭类	2016-08-18	617	2
广州	米饭类	2016-08-19	2201	10
广州	米饭类	2016-08-20	4388	9
广州	米饭类	2016-08-21	1332	6
广州	米饭类	2016-08-22	1290	2
广州	米饭类	2016-08-23	111	2
广州	米饭类	2016-08-24	369	2
广州	米饭类	2016-08-25	912	4
广州	米饭类	2016-08-26	1125	3
广州	米饭类	2016-08-27	1882	6
广州	米饭类	2016-08-28	5015	9
广州	米饭类	2016-08-30	143	2
广州	米饭类	2016-08-31	1128	3
广州	粥类	2016-08-01	4220	6
广州	粥类	2016-08-02	510	5
广州	粥类	2016-08-03	350	1
广州	粥类	2016-08-04	1410	2
广州	粥类	2016-08-05	757	2
广州	粥类	2016-08-06	1207	3
广州	粥类	2016-08-07	444	1
广州	粥类	2016-08-08	4437	7
广州	粥类	2016-08-11	175	1
广州	粥类	2016-08-12	169	1
广州	粥类	2016-08-13	2338	4
广州	粥类	2016-08-14	378	1
广州	粥类	2016-08-15	938	2
广州	粥类	2016-08-20	2131	4
广州	粥类	2016-08-21	893	3
广州	粥类	2016-08-24	263	1
广州	粥类	2016-08-26	1756	3
广州	粥类	2016-08-27	606	2
广州	粥类	2016-08-28	743	1
广州	粥类	2016-08-30	143	1
广州	粥类	2016-08-31	504	3
广州	糕点类	2016-08-01	167	1
广州	糕点类	2016-08-03	350	1
广州	糕点类	2016-08-07	698	1
广州	糕点类	2016-08-08	1318	2
广州	糕点类	2016-08-12	152	1
广州	糕点类	2016-08-13	314	1
广州	糕点类	2016-08-15	1245	3
广州	糕点类	2016-08-16	281	1
广州	糕点类	2016-08-17	476	2
广州	糕点类	2016-08-18	617	1
广州	糕点类	2016-08-19	452	1
广州	糕点类	2016-08-20	1108	2
广州	糕点类	2016-08-22	1868	3
广州	糕点类	2016-08-23	531	3
广州	糕点类	2016-08-25	266	1
广州	糕点类	2016-08-28	670	1
广州	糕点类	2016-08-31	514	3
广州	红酒类	2016-08-01	700	1
广州	红酒类	2016-08-02	211	1
广州	红酒类	2016-08-06	1567	2
广州	红酒类	2016-08-07	733	2
广州	红酒类	2016-08-08	659	1
广州	红酒类	2016-08-09	356	1
广州	红酒类	2016-08-10	582	1
广州	红酒类	2016-08-12	378	1
广州	红酒类	2016-08-13	1605	2
广州	红酒类	2016-08-15	353	1
广州	红酒类	2016-08-16	281	1
广州	红酒类	2016-08-18	617	1
广州	红酒类	2016-08-19	452	1
广州	红酒类	2016-08-20	1615	4
广州	红酒类	2016-08-22	712	1
广州	红酒类	2016-08-28	1470	2
广州	羊肉类	2016-08-01	2623	4
广州	羊肉类	2016-08-05	853	2
广州	羊肉类	2016-08-06	3537	5
广州	羊肉类	2016-08-07	1427	4
广州	羊肉类	2016-08-08	1755	4
广州	羊肉类	2016-08-09	356	1
广州	羊肉类	2016-08-10	582	1
广州	羊肉类	2016-08-11	438	1
广州	羊肉类	2016-08-12	1720	5
广州	羊肉类	2016-08-13	1919	3
广州	羊肉类	2016-08-14	378	1
广州	羊肉类	2016-08-17	1311	3
广州	羊肉类	2016-08-18	617	1
广州	羊肉类	2016-08-19	2573	4
广州	羊肉类	2016-08-20	894	2
广州	羊肉类	2016-08-21	3273	5
广州	羊肉类	2016-08-22	1290	2
广州	羊肉类	2016-08-25	456	1
广州	羊肉类	2016-08-26	1125	2
广州	羊肉类	2016-08-27	2490	5
广州	羊肉类	2016-08-28	1276	2
广州	羊肉类	2016-08-31	735	1
广州	肠粉类	2016-08-04	705	1
广州	肠粉类	2016-08-05	346	1
广州	肠粉类	2016-08-11	175	1
广州	肠粉类	2016-08-12	169	1
广州	肠粉类	2016-08-14	378	1
广州	肠粉类	2016-08-16	281	1
广州	肠粉类	2016-08-19	617	1
广州	肠粉类	2016-08-20	1077	2
广州	肠粉类	2016-08-21	245	3
广州	肠粉类	2016-08-22	712	1
广州	肠粉类	2016-08-25	456	1
广州	肠粉类	2016-08-28	2270	3
广州	花菜类	2016-08-01	511	1
广州	花菜类	2016-08-02	299	1
广州	花菜类	2016-08-03	350	1
广州	花菜类	2016-08-06	2913	4
广州	花菜类	2016-08-08	1870	4
广州	花菜类	2016-08-09	356	1
广州	花菜类	2016-08-12	169	1
广州	花菜类	2016-08-13	4525	7
广州	花菜类	2016-08-14	378	1
广州	花菜类	2016-08-15	307	1
广州	花菜类	2016-08-16	444	2
广州	花菜类	2016-08-17	475	1
广州	花菜类	2016-08-18	617	1
广州	花菜类	2016-08-19	1377	3
广州	花菜类	2016-08-20	1571	3
广州	花菜类	2016-08-21	1031	1
广州	花菜类	2016-08-23	111	1
广州	花菜类	2016-08-24	1001	3
广州	花菜类	2016-08-26	494	1
广州	花菜类	2016-08-28	3111	5
广州	花菜类	2016-08-31	866	2
广州	茎菜类	2016-08-01	700	1
广州	茎菜类	2016-08-04	1410	2
广州	茎菜类	2016-08-05	596	2
广州	茎菜类	2016-08-06	2298	5
广州	茎菜类	2016-08-07	539	2
广州	茎菜类	2016-08-08	1441	2
广州	茎菜类	2016-08-09	356	1
广州	茎菜类	2016-08-10	628	2
广州	茎菜类	2016-08-11	613	2
广州	茎菜类	2016-08-12	758	2
广州	茎菜类	2016-08-13	718	2
广州	茎菜类	2016-08-15	938	2
广州	茎菜类	2016-08-17	713	2
广州	茎菜类	2016-08-18	617	1
广州	茎菜类	2016-08-20	3053	5
广州	茎菜类	2016-08-21	137	1
广州	茎菜类	2016-08-22	1290	2
广州	茎菜类	2016-08-25	1253	1
广州	茎菜类	2016-08-26	1262	2
广州	茎菜类	2016-08-27	1746	4
广州	茎菜类	2016-08-28	3740	5
广州	茎菜类	2016-08-31	262	1
广州	虾类	2016-08-01	704	1
广州	虾类	2016-08-02	299	1
广州	虾类	2016-08-05	757	2
广州	虾类	2016-08-06	3449	4
广州	虾类	2016-08-07	1392	3
广州	虾类	2016-08-08	1897	3
广州	虾类	2016-08-10	1164	2
广州	虾类	2016-08-12	810	2
广州	虾类	2016-08-13	3784	6
广州	虾类	2016-08-14	378	1
广州	虾类	2016-08-17	598	1
广州	虾类	2016-08-18	1312	2
广州	虾类	2016-08-19	2818	5
广州	虾类	2016-08-20	2862	5
广州	虾类	2016-08-21	2818	4
广州	虾类	2016-08-22	712	1
广州	虾类	2016-08-25	4747	6
广州	虾类	2016-08-26	631	1
广州	虾类	2016-08-27	2476	6
广州	虾类	2016-08-28	4319	7
广州	虾类	2016-08-29	203	1
广州	虾类	2016-08-30	143	1
广州	蟹类	2016-08-01	1211	2
广州	蟹类	2016-08-02	211	1
广州	蟹类	2016-08-04	1410	2
广州	蟹类	2016-08-06	2469	3
广州	蟹类	2016-08-07	250	1
广州	蟹类	2016-08-09	356	1
广州	蟹类	2016-08-11	175	1
广州	蟹类	2016-08-12	547	2
广州	蟹类	2016-08-13	404	1
广州	蟹类	2016-08-15	706	2
广州	蟹类	2016-08-16	163	1
广州	蟹类	2016-08-17	238	1
广州	蟹类	2016-08-18	1390	2
广州	蟹类	2016-08-20	795	2
广州	蟹类	2016-08-21	2307	4
广州	蟹类	2016-08-22	1290	2
广州	蟹类	2016-08-23	210	1
广州	蟹类	2016-08-25	1975	3
广州	蟹类	2016-08-26	494	1
广州	蟹类	2016-08-27	300	1
广州	蟹类	2016-08-28	1284	3
广州	蟹类	2016-08-30	540	2
广州	蟹类	2016-08-31	987	3
广州	贝壳类	2016-08-01	700	1
广州	贝壳类	2016-08-02	598	2
广州	贝壳类	2016-08-03	137	1
广州	贝壳类	2016-08-04	705	1
广州	贝壳类	2016-08-06	4314	5
广州	贝壳类	2016-08-07	1431	3
广州	贝壳类	2016-08-08	782	1
广州	贝壳类	2016-08-09	356	1
广州	贝壳类	2016-08-12	380	1
广州	贝壳类	2016-08-13	930	1
广州	贝壳类	2016-08-15	307	1
广州	贝壳类	2016-08-16	281	1
广州	贝壳类	2016-08-17	475	1
广州	贝壳类	2016-08-18	1234	2
广州	贝壳类	2016-08-19	1234	2
广州	贝壳类	2016-08-20	4178	8
广州	贝壳类	2016-08-21	455	1
广州	贝壳类	2016-08-26	494	1
广州	贝壳类	2016-08-27	603	2
广州	贝壳类	2016-08-28	826	2
广州	贝壳类	2016-08-31	131	1
广州	面包类	2016-08-04	705	1
广州	面包类	2016-08-05	696	2
广州	面包类	2016-08-08	1152	2
广州	面包类	2016-08-12	338	2
广州	面包类	2016-08-18	695	7
广州	面包类	2016-08-20	704	1
广州	面包类	2016-08-21	1031	1
广州	面包类	2016-08-24	632	2
广州	面包类	2016-08-26	631	1
广州	面包类	2016-08-28	670	1
广州	面食类	2016-08-03	350	1
广州	面食类	2016-08-05	507	1
广州	面食类	2016-08-06	1637	3
广州	面食类	2016-08-08	747	1
广州	面食类	2016-08-09	356	1
广州	面食类	2016-08-12	684	3
广州	面食类	2016-08-13	1238	2
广州	面食类	2016-08-14	378	1
广州	面食类	2016-08-15	307	1
广州	面食类	2016-08-17	1434	3
广州	面食类	2016-08-20	1149	2
广州	面食类	2016-08-22	1290	2
广州	面食类	2016-08-24	526	2
广州	面食类	2016-08-25	456	1
广州	面食类	2016-08-26	631	1
广州	面食类	2016-08-27	1062	3
广州	面食类	2016-08-30	270	1
广州	饮料类	2016-08-01	3520	5
广州	饮料类	2016-08-02	299	1
广州	饮料类	2016-08-03	350	1
广州	饮料类	2016-08-04	705	1
广州	饮料类	2016-08-05	1449	4
广州	饮料类	2016-08-06	3700	6
广州	饮料类	2016-08-07	1392	5
广州	饮料类	2016-08-08	3049	5
广州	饮料类	2016-08-10	314	1
广州	饮料类	2016-08-12	812	2
广州	饮料类	2016-08-13	2030	3
广州	饮料类	2016-08-14	378	1
广州	饮料类	2016-08-15	307	1
广州	饮料类	2016-08-16	281	1
广州	饮料类	2016-08-17	836	2
广州	饮料类	2016-08-19	1749	3
广州	饮料类	2016-08-20	3396	7
广州	饮料类	2016-08-21	438	3
广州	饮料类	2016-08-23	210	2
广州	饮料类	2016-08-24	369	4
广州	饮料类	2016-08-25	722	5
广州	饮料类	2016-08-26	1893	3
广州	饮料类	2016-08-27	2390	6
广州	饮料类	2016-08-28	3668	6
广州	饮料类	2016-08-30	540	2
广州	饮料类	2016-08-31	262	1
广州	鱼类	2016-08-01	3997	7
广州	鱼类	2016-08-04	1410	2
广州	鱼类	2016-08-05	1392	4
广州	鱼类	2016-08-06	1145	3
广州	鱼类	2016-08-07	733	2
广州	鱼类	2016-08-08	5482	10
广州	鱼类	2016-08-10	1210	3
广州	鱼类	2016-08-11	175	1
广州	鱼类	2016-08-13	5437	8
广州	鱼类	2016-08-16	163	1
广州	鱼类	2016-08-17	1073	2
广州	鱼类	2016-08-18	695	1
广州	鱼类	2016-08-19	2573	4
广州	鱼类	2016-08-20	1553	3
广州	鱼类	2016-08-21	1787	3
广州	鱼类	2016-08-22	578	1
广州	鱼类	2016-08-23	111	1
广州	鱼类	2016-08-25	2506	2
广州	鱼类	2016-08-26	2881	5
广州	鱼类	2016-08-27	3382	7
广州	鱼类	2016-08-28	7844	12
广州	鱼类	2016-08-29	203	1
广州	鱼类	2016-08-31	1470	2
