店铺所在地	菜品类别	消费日期	消费金额	消费数量（单个菜品）
深圳	其他水产	2016-08-01	854	1
深圳	其他水产	2016-08-04	925	2
深圳	其他水产	2016-08-10	839	1
深圳	其他水产	2016-08-15	720	1
深圳	其他水产	2016-08-17	1060	1
深圳	其他水产	2016-08-18	251	1
深圳	其他肉类	2016-08-01	1845	3
深圳	其他肉类	2016-08-03	1315	3
深圳	其他肉类	2016-08-07	766	1
深圳	其他肉类	2016-08-09	1147	1
深圳	其他肉类	2016-08-10	839	1
深圳	其他肉类	2016-08-17	1304	2
深圳	其他肉类	2016-08-18	410	1
深圳	其他肉类	2016-08-19	1620	2
深圳	其他肉类	2016-08-20	1000	1
深圳	其他肉类	2016-08-25	689	1
深圳	其他肉类	2016-08-26	206	1
深圳	叶菜类	2016-08-01	165	1
深圳	叶菜类	2016-08-03	1243	2
深圳	叶菜类	2016-08-06	1724	5
深圳	叶菜类	2016-08-07	4320	6
深圳	叶菜类	2016-08-08	268	2
深圳	叶菜类	2016-08-09	485	1
深圳	叶菜类	2016-08-10	839	1
深圳	叶菜类	2016-08-12	802	1
深圳	叶菜类	2016-08-13	354	1
深圳	叶菜类	2016-08-14	262	1
深圳	叶菜类	2016-08-15	1440	2
深圳	叶菜类	2016-08-17	2228	3
深圳	叶菜类	2016-08-18	4270	6
深圳	叶菜类	2016-08-19	2027	3
深圳	叶菜类	2016-08-20	5950	8
深圳	叶菜类	2016-08-23	3107	6
深圳	叶菜类	2016-08-25	2284	4
深圳	叶菜类	2016-08-26	2424	5
深圳	叶菜类	2016-08-30	163	1
深圳	啤酒类	2016-08-03	523	4
深圳	啤酒类	2016-08-05	601	1
深圳	啤酒类	2016-08-07	149	2
深圳	啤酒类	2016-08-09	1147	2
深圳	啤酒类	2016-08-10	839	1
深圳	啤酒类	2016-08-11	2070	3
深圳	啤酒类	2016-08-25	217	6
深圳	啤酒类	2016-08-28	1031	1
深圳	啤酒类	2016-08-30	163	1
深圳	家禽类	2016-08-01	991	2
深圳	家禽类	2016-08-02	168	1
深圳	家禽类	2016-08-04	634	1
深圳	家禽类	2016-08-06	1571	3
深圳	家禽类	2016-08-07	1480	3
深圳	家禽类	2016-08-08	125	1
深圳	家禽类	2016-08-09	2779	3
深圳	家禽类	2016-08-11	1604	3
深圳	家禽类	2016-08-12	802	1
深圳	家禽类	2016-08-15	149	1
深圳	家禽类	2016-08-17	1712	2
深圳	家禽类	2016-08-18	1958	5
深圳	家禽类	2016-08-19	814	2
深圳	家禽类	2016-08-23	369	1
深圳	家禽类	2016-08-26	1545	3
深圳	家禽类	2016-08-27	898	2
深圳	家禽类	2016-08-30	303	1
深圳	果菜类	2016-08-06	1335	2
深圳	果菜类	2016-08-10	839	1
深圳	果菜类	2016-08-11	1380	2
深圳	果菜类	2016-08-18	1427	2
深圳	果菜类	2016-08-19	810	1
深圳	果菜类	2016-08-20	346	2
深圳	果菜类	2016-08-27	449	1
深圳	根菜类	2016-08-01	854	1
深圳	根菜类	2016-08-04	291	1
深圳	根菜类	2016-08-06	456	2
深圳	根菜类	2016-08-07	149	1
深圳	根菜类	2016-08-09	2294	2
深圳	根菜类	2016-08-12	802	1
深圳	根菜类	2016-08-14	157	1
深圳	根菜类	2016-08-15	1101	1
深圳	根菜类	2016-08-18	159	1
深圳	根菜类	2016-08-19	1217	2
深圳	根菜类	2016-08-20	1346	3
深圳	根菜类	2016-08-25	1378	2
深圳	根菜类	2016-08-26	206	1
深圳	海藻类	2016-08-01	302	2
深圳	海藻类	2016-08-02	336	2
深圳	海藻类	2016-08-06	236	1
深圳	海藻类	2016-08-07	149	1
深圳	海藻类	2016-08-10	839	1
深圳	海藻类	2016-08-15	720	1
深圳	海藻类	2016-08-17	2228	3
深圳	海藻类	2016-08-18	950	2
深圳	海藻类	2016-08-19	407	1
深圳	牛肉类	2016-08-01	854	1
深圳	牛肉类	2016-08-03	1243	2
深圳	牛肉类	2016-08-05	601	1
深圳	牛肉类	2016-08-06	1584	3
深圳	牛肉类	2016-08-07	766	1
深圳	牛肉类	2016-08-09	485	1
深圳	牛肉类	2016-08-10	839	1
深圳	牛肉类	2016-08-11	690	1
深圳	牛肉类	2016-08-12	802	1
深圳	牛肉类	2016-08-14	576	3
深圳	牛肉类	2016-08-17	2500	3
深圳	牛肉类	2016-08-19	2463	3
深圳	牛肉类	2016-08-20	1000	1
深圳	牛肉类	2016-08-23	369	1
深圳	牛肉类	2016-08-25	1378	2
深圳	牛肉类	2016-08-26	1248	2
深圳	牛肉类	2016-08-28	2062	2
深圳	猪肉类	2016-08-01	1180	3
深圳	猪肉类	2016-08-03	4392	7
深圳	猪肉类	2016-08-04	634	1
深圳	猪肉类	2016-08-05	601	1
深圳	猪肉类	2016-08-06	5320	9
深圳	猪肉类	2016-08-07	4911	6
深圳	猪肉类	2016-08-08	125	1
深圳	猪肉类	2016-08-09	1632	2
深圳	猪肉类	2016-08-11	690	1
深圳	猪肉类	2016-08-13	708	2
深圳	猪肉类	2016-08-15	3261	4
深圳	猪肉类	2016-08-17	2772	4
深圳	猪肉类	2016-08-18	2834	4
深圳	猪肉类	2016-08-19	843	1
深圳	猪肉类	2016-08-20	3890	5
深圳	猪肉类	2016-08-23	3405	7
深圳	猪肉类	2016-08-25	689	1
深圳	猪肉类	2016-08-26	958	2
深圳	甜点类	2016-08-01	854	1
深圳	甜点类	2016-08-02	168	1
深圳	甜点类	2016-08-04	634	1
深圳	甜点类	2016-08-09	1147	1
深圳	甜点类	2016-08-11	690	1
深圳	甜点类	2016-08-17	788	1
深圳	甜点类	2016-08-18	679	1
深圳	甜点类	2016-08-19	810	1
深圳	甜点类	2016-08-26	515	1
深圳	甜点类	2016-08-30	466	2
深圳	白酒类	2016-08-04	291	1
深圳	白酒类	2016-08-09	1147	1
深圳	白酒类	2016-08-10	839	1
深圳	白酒类	2016-08-15	1101	1
深圳	白酒类	2016-08-17	1060	3
深圳	白酒类	2016-08-18	728	1
深圳	白酒类	2016-08-19	843	1
深圳	白酒类	2016-08-26	1467	3
深圳	米饭类	2016-08-01	991	2
深圳	米饭类	2016-08-02	168	1
深圳	米饭类	2016-08-03	1512	8
深圳	米饭类	2016-08-04	925	9
深圳	米饭类	2016-08-06	1940	5
深圳	米饭类	2016-08-07	2510	5
深圳	米饭类	2016-08-08	143	1
深圳	米饭类	2016-08-09	1632	9
深圳	米饭类	2016-08-10	839	1
深圳	米饭类	2016-08-11	690	1
深圳	米饭类	2016-08-12	1604	2
深圳	米饭类	2016-08-13	354	4
深圳	米饭类	2016-08-14	419	3
深圳	米饭类	2016-08-15	1970	4
深圳	米饭类	2016-08-17	2500	11
深圳	米饭类	2016-08-18	1817	11
深圳	米饭类	2016-08-19	2870	6
深圳	米饭类	2016-08-20	1060	2
深圳	米饭类	2016-08-23	1721	11
深圳	米饭类	2016-08-25	906	3
深圳	米饭类	2016-08-26	2927	9
深圳	米饭类	2016-08-27	449	1
深圳	米饭类	2016-08-28	2062	2
深圳	米饭类	2016-08-30	306	4
深圳	粥类	2016-08-01	1180	6
深圳	粥类	2016-08-04	634	1
深圳	粥类	2016-08-05	601	1
深圳	粥类	2016-08-06	702	2
深圳	粥类	2016-08-07	766	1
深圳	粥类	2016-08-08	125	1
深圳	粥类	2016-08-11	914	2
深圳	粥类	2016-08-14	262	1
深圳	粥类	2016-08-15	1101	1
深圳	粥类	2016-08-17	788	1
深圳	粥类	2016-08-18	979	2
深圳	粥类	2016-08-20	887	1
深圳	粥类	2016-08-23	1492	4
深圳	粥类	2016-08-29	109	1
深圳	粥类	2016-08-30	303	1
深圳	糕点类	2016-08-03	720	1
深圳	糕点类	2016-08-06	571	2
深圳	糕点类	2016-08-08	125	1
深圳	糕点类	2016-08-09	1147	1
深圳	糕点类	2016-08-10	1678	2
深圳	糕点类	2016-08-14	157	1
深圳	糕点类	2016-08-15	2202	4
深圳	糕点类	2016-08-17	1060	1
深圳	糕点类	2016-08-18	887	2
深圳	糕点类	2016-08-19	2837	4
深圳	糕点类	2016-08-27	449	1
深圳	红酒类	2016-08-01	854	1
深圳	红酒类	2016-08-06	625	1
深圳	红酒类	2016-08-07	766	1
深圳	红酒类	2016-08-10	160	1
深圳	红酒类	2016-08-12	802	1
深圳	红酒类	2016-08-15	1101	1
深圳	红酒类	2016-08-17	2092	3
深圳	红酒类	2016-08-18	699	1
深圳	红酒类	2016-08-20	1000	1
深圳	红酒类	2016-08-27	449	1
深圳	羊肉类	2016-08-01	165	1
深圳	羊肉类	2016-08-03	1963	3
深圳	羊肉类	2016-08-05	601	1
深圳	羊肉类	2016-08-06	1731	3
深圳	羊肉类	2016-08-07	3617	5
深圳	羊肉类	2016-08-12	3208	4
深圳	羊肉类	2016-08-13	354	1
深圳	羊肉类	2016-08-14	262	1
深圳	羊肉类	2016-08-15	720	1
深圳	羊肉类	2016-08-17	1060	4
深圳	羊肉类	2016-08-18	3605	7
深圳	羊肉类	2016-08-19	2430	3
深圳	羊肉类	2016-08-20	1887	2
深圳	羊肉类	2016-08-23	983	2
深圳	羊肉类	2016-08-25	1378	2
深圳	羊肉类	2016-08-26	2188	4
深圳	肠粉类	2016-08-06	307	3
深圳	肠粉类	2016-08-17	788	1
深圳	肠粉类	2016-08-18	728	1
深圳	肠粉类	2016-08-27	449	1
深圳	花菜类	2016-08-01	137	1
深圳	花菜类	2016-08-03	269	1
深圳	花菜类	2016-08-06	2335	3
深圳	花菜类	2016-08-07	766	1
深圳	花菜类	2016-08-08	143	1
深圳	花菜类	2016-08-09	1147	1
深圳	花菜类	2016-08-10	839	1
深圳	花菜类	2016-08-11	224	1
深圳	花菜类	2016-08-12	802	1
深圳	花菜类	2016-08-15	149	1
深圳	花菜类	2016-08-17	1440	2
深圳	花菜类	2016-08-19	843	1
深圳	花菜类	2016-08-20	1000	1
深圳	花菜类	2016-08-26	1236	3
深圳	花菜类	2016-08-27	449	1
深圳	茎菜类	2016-08-01	1708	2
深圳	茎菜类	2016-08-06	207	1
深圳	茎菜类	2016-08-07	1331	2
深圳	茎菜类	2016-08-09	970	2
深圳	茎菜类	2016-08-11	690	1
深圳	茎菜类	2016-08-12	1604	2
深圳	茎菜类	2016-08-15	2541	3
深圳	茎菜类	2016-08-17	1440	2
深圳	茎菜类	2016-08-18	1181	3
深圳	茎菜类	2016-08-19	1217	2
深圳	茎菜类	2016-08-23	738	2
深圳	茎菜类	2016-08-25	906	2
深圳	茎菜类	2016-08-26	1248	2
深圳	茎菜类	2016-08-29	109	1
深圳	茎菜类	2016-08-30	286	2
深圳	虾类	2016-08-01	854	1
深圳	虾类	2016-08-03	720	1
深圳	虾类	2016-08-04	2193	4
深圳	虾类	2016-08-06	3327	5
深圳	虾类	2016-08-07	2725	4
深圳	虾类	2016-08-09	1632	3
深圳	虾类	2016-08-10	1838	3
深圳	虾类	2016-08-11	690	1
深圳	虾类	2016-08-12	802	1
深圳	虾类	2016-08-15	2922	3
深圳	虾类	2016-08-17	2908	3
深圳	虾类	2016-08-18	2467	4
深圳	虾类	2016-08-19	2060	3
深圳	虾类	2016-08-20	2571	4
深圳	虾类	2016-08-23	1621	4
深圳	虾类	2016-08-25	1595	3
深圳	虾类	2016-08-26	1691	3
深圳	虾类	2016-08-28	1031	1
深圳	虾类	2016-08-30	446	2
深圳	蟹类	2016-08-01	1180	3
深圳	蟹类	2016-08-03	1512	3
深圳	蟹类	2016-08-04	634	1
深圳	蟹类	2016-08-05	1202	2
深圳	蟹类	2016-08-06	2307	3
深圳	蟹类	2016-08-07	766	1
深圳	蟹类	2016-08-11	690	1
深圳	蟹类	2016-08-13	479	2
深圳	蟹类	2016-08-15	1101	2
深圳	蟹类	2016-08-18	2964	5
深圳	蟹类	2016-08-19	843	1
深圳	蟹类	2016-08-20	2000	2
深圳	蟹类	2016-08-26	1467	2
深圳	蟹类	2016-08-27	449	1
深圳	贝壳类	2016-08-01	165	1
深圳	贝壳类	2016-08-05	601	1
深圳	贝壳类	2016-08-06	874	2
深圳	贝壳类	2016-08-07	1480	3
深圳	贝壳类	2016-08-10	839	1
深圳	贝壳类	2016-08-11	690	1
深圳	贝壳类	2016-08-13	125	1
深圳	贝壳类	2016-08-15	720	1
深圳	贝壳类	2016-08-17	1304	2
深圳	贝壳类	2016-08-18	1089	2
深圳	贝壳类	2016-08-19	407	1
深圳	贝壳类	2016-08-29	109	1
深圳	贝壳类	2016-08-30	769	3
深圳	面包类	2016-08-01	165	1
深圳	面包类	2016-08-04	634	1
深圳	面包类	2016-08-08	125	1
深圳	面包类	2016-08-09	2294	2
深圳	面包类	2016-08-11	690	1
深圳	面包类	2016-08-14	262	1
深圳	面包类	2016-08-15	720	1
深圳	面包类	2016-08-19	810	1
深圳	面包类	2016-08-26	1030	2
深圳	面包类	2016-08-30	303	1
深圳	面食类	2016-08-08	125	1
深圳	面食类	2016-08-10	1998	4
深圳	面食类	2016-08-13	250	2
深圳	面食类	2016-08-19	1653	2
深圳	面食类	2016-08-26	515	1
深圳	面食类	2016-08-29	109	1
深圳	饮料类	2016-08-02	168	1
深圳	饮料类	2016-08-03	269	1
深圳	饮料类	2016-08-04	634	1
深圳	饮料类	2016-08-05	601	1
深圳	饮料类	2016-08-06	1494	9
深圳	饮料类	2016-08-07	766	1
深圳	饮料类	2016-08-08	411	3
深圳	饮料类	2016-08-10	839	1
深圳	饮料类	2016-08-11	914	2
深圳	饮料类	2016-08-12	802	1
深圳	饮料类	2016-08-14	419	2
深圳	饮料类	2016-08-15	1821	2
深圳	饮料类	2016-08-17	788	1
深圳	饮料类	2016-08-18	887	2
深圳	饮料类	2016-08-19	2027	3
深圳	饮料类	2016-08-20	1060	2
深圳	饮料类	2016-08-27	449	1
深圳	饮料类	2016-08-30	609	3
深圳	鱼类	2016-08-03	1963	3
深圳	鱼类	2016-08-05	601	1
深圳	鱼类	2016-08-06	3655	8
深圳	鱼类	2016-08-07	2223	3
深圳	鱼类	2016-08-08	143	1
深圳	鱼类	2016-08-09	2779	3
深圳	鱼类	2016-08-11	1828	4
深圳	鱼类	2016-08-13	708	2
深圳	鱼类	2016-08-14	262	1
深圳	鱼类	2016-08-15	2690	4
深圳	鱼类	2016-08-17	1440	2
深圳	鱼类	2016-08-18	2765	4
深圳	鱼类	2016-08-19	1653	2
深圳	鱼类	2016-08-20	3661	4
深圳	鱼类	2016-08-23	2288	6
深圳	鱼类	2016-08-26	2193	5
深圳	鱼类	2016-08-30	163	1
