店铺所在地	菜品类别	消费日期	消费金额	消费数量（单个菜品）
佛山	其他水产	2016-08-06	895	1
佛山	其他水产	2016-08-08	842	1
佛山	其他水产	2016-08-15	1214	1
佛山	其他肉类	2016-08-08	842	1
佛山	其他肉类	2016-08-20	694	1
佛山	叶菜类	2016-08-03	457	1
佛山	叶菜类	2016-08-07	950	2
佛山	叶菜类	2016-08-08	1118	3
佛山	叶菜类	2016-08-10	832	2
佛山	叶菜类	2016-08-16	242	1
佛山	叶菜类	2016-08-19	1686	2
佛山	叶菜类	2016-08-21	756	2
佛山	叶菜类	2016-08-24	202	1
佛山	叶菜类	2016-08-25	351	1
佛山	叶菜类	2016-08-27	419	1
佛山	叶菜类	2016-08-30	1105	1
佛山	家禽类	2016-08-06	895	1
佛山	家禽类	2016-08-15	1214	1
佛山	家禽类	2016-08-18	506	1
佛山	家禽类	2016-08-24	202	1
佛山	家禽类	2016-08-27	419	1
佛山	果菜类	2016-08-09	255	1
佛山	果菜类	2016-08-15	1214	1
佛山	果菜类	2016-08-20	1388	2
佛山	果菜类	2016-08-27	419	1
佛山	根菜类	2016-08-08	842	1
佛山	根菜类	2016-08-15	1214	1
佛山	根菜类	2016-08-16	242	1
佛山	根菜类	2016-08-22	337	1
佛山	根菜类	2016-08-25	351	1
佛山	根菜类	2016-08-30	1105	1
佛山	海藻类	2016-08-16	242	1
佛山	海藻类	2016-08-18	506	1
佛山	海藻类	2016-08-24	202	1
佛山	牛肉类	2016-08-06	895	1
佛山	牛肉类	2016-08-09	255	1
佛山	牛肉类	2016-08-15	1214	1
佛山	牛肉类	2016-08-16	242	1
佛山	牛肉类	2016-08-18	1012	2
佛山	牛肉类	2016-08-19	843	1
佛山	牛肉类	2016-08-22	337	1
佛山	牛肉类	2016-08-24	202	1
佛山	牛肉类	2016-08-25	702	2
佛山	猪肉类	2016-08-06	895	1
佛山	猪肉类	2016-08-07	2190	3
佛山	猪肉类	2016-08-08	138	1
佛山	猪肉类	2016-08-10	832	2
佛山	猪肉类	2016-08-18	506	1
佛山	猪肉类	2016-08-19	4215	5
佛山	猪肉类	2016-08-20	694	1
佛山	猪肉类	2016-08-21	378	1
佛山	猪肉类	2016-08-25	351	1
佛山	猪肉类	2016-08-27	419	1
佛山	甜点类	2016-08-07	730	1
佛山	甜点类	2016-08-08	842	1
佛山	甜点类	2016-08-21	378	1
佛山	甜点类	2016-08-30	1105	1
佛山	白酒类	2016-08-06	895	1
佛山	白酒类	2016-08-07	730	1
佛山	白酒类	2016-08-08	842	1
佛山	白酒类	2016-08-15	1214	1
佛山	米饭类	2016-08-06	895	1
佛山	米饭类	2016-08-07	730	1
佛山	米饭类	2016-08-08	980	3
佛山	米饭类	2016-08-09	255	1
佛山	米饭类	2016-08-10	416	1
佛山	米饭类	2016-08-15	2428	2
佛山	米饭类	2016-08-16	242	1
佛山	米饭类	2016-08-18	506	1
佛山	米饭类	2016-08-19	843	1
佛山	米饭类	2016-08-20	1388	2
佛山	米饭类	2016-08-22	337	1
佛山	米饭类	2016-08-24	202	1
佛山	米饭类	2016-08-25	351	1
佛山	米饭类	2016-08-27	419	1
佛山	粥类	2016-08-03	457	2
佛山	粥类	2016-08-07	220	3
佛山	粥类	2016-08-08	2526	3
佛山	粥类	2016-08-16	242	1
佛山	粥类	2016-08-20	694	1
佛山	粥类	2016-08-22	337	1
佛山	糕点类	2016-08-07	730	1
佛山	糕点类	2016-08-27	419	1
佛山	红酒类	2016-08-03	457	1
佛山	红酒类	2016-08-20	694	1
佛山	红酒类	2016-08-22	337	1
佛山	红酒类	2016-08-27	419	1
佛山	羊肉类	2016-08-03	457	1
佛山	羊肉类	2016-08-08	842	1
佛山	羊肉类	2016-08-15	1214	1
佛山	羊肉类	2016-08-19	2529	3
佛山	羊肉类	2016-08-20	694	1
佛山	羊肉类	2016-08-21	378	1
佛山	羊肉类	2016-08-24	202	1
佛山	肠粉类	2016-08-08	1684	2
佛山	肠粉类	2016-08-27	419	1
佛山	花菜类	2016-08-08	842	1
佛山	花菜类	2016-08-09	255	1
佛山	花菜类	2016-08-15	2428	2
佛山	花菜类	2016-08-20	694	1
佛山	花菜类	2016-08-25	351	1
佛山	茎菜类	2016-08-08	842	1
佛山	茎菜类	2016-08-09	255	1
佛山	茎菜类	2016-08-15	1214	1
佛山	茎菜类	2016-08-22	337	1
佛山	虾类	2016-08-03	457	1
佛山	虾类	2016-08-06	895	1
佛山	虾类	2016-08-07	1680	3
佛山	虾类	2016-08-08	842	1
佛山	虾类	2016-08-10	416	1
佛山	虾类	2016-08-15	1214	1
佛山	虾类	2016-08-16	242	1
佛山	虾类	2016-08-19	843	1
佛山	虾类	2016-08-22	337	1
佛山	虾类	2016-08-30	1105	2
佛山	蟹类	2016-08-03	457	1
佛山	蟹类	2016-08-06	895	1
佛山	蟹类	2016-08-07	730	1
佛山	蟹类	2016-08-09	255	1
佛山	蟹类	2016-08-15	1214	1
佛山	蟹类	2016-08-19	843	1
佛山	蟹类	2016-08-21	378	1
佛山	蟹类	2016-08-27	419	1
佛山	蟹类	2016-08-30	1105	4
佛山	贝壳类	2016-08-06	895	1
佛山	贝壳类	2016-08-15	1214	1
佛山	贝壳类	2016-08-18	506	1
佛山	贝壳类	2016-08-20	694	1
佛山	贝壳类	2016-08-22	337	1
佛山	面包类	2016-08-08	842	1
佛山	面包类	2016-08-16	242	1
佛山	面包类	2016-08-20	1388	2
佛山	面食类	2016-08-08	842	1
