店铺所在地	菜品类别	消费日期	消费金额	消费数量（单个菜品）
深圳	其他水产	2016-08-04	1149	2
深圳	其他水产	2016-08-05	980	2
深圳	其他水产	2016-08-07	455	1
深圳	其他水产	2016-08-09	877	1
深圳	其他水产	2016-08-10	282	1
深圳	其他水产	2016-08-13	517	1
深圳	其他水产	2016-08-14	915	1
深圳	其他水产	2016-08-15	702	1
深圳	其他水产	2016-08-17	1204	2
深圳	其他水产	2016-08-19	644	1
深圳	其他水产	2016-08-21	955	1
深圳	其他水产	2016-08-23	977	2
深圳	其他水产	2016-08-26	708	1
深圳	其他水产	2016-08-28	685	1
深圳	其他水产	2016-08-29	465	1
深圳	其他肉类	2016-08-02	302	1
深圳	其他肉类	2016-08-03	394	1
深圳	其他肉类	2016-08-04	648	1
深圳	其他肉类	2016-08-06	402	1
深圳	其他肉类	2016-08-07	732	1
深圳	其他肉类	2016-08-09	1318	2
深圳	其他肉类	2016-08-10	824	1
深圳	其他肉类	2016-08-13	517	1
深圳	其他肉类	2016-08-14	1812	3
深圳	其他肉类	2016-08-15	702	1
深圳	其他肉类	2016-08-16	1180	2
深圳	其他肉类	2016-08-17	2429	3
深圳	其他肉类	2016-08-19	2249	3
深圳	其他肉类	2016-08-20	1295	3
深圳	其他肉类	2016-08-22	677	1
深圳	其他肉类	2016-08-24	718	2
深圳	其他肉类	2016-08-25	1216	2
深圳	其他肉类	2016-08-29	3453	5
深圳	其他肉类	2016-08-30	812	1
深圳	叶菜类	2016-08-01	3484	6
深圳	叶菜类	2016-08-03	985	3
深圳	叶菜类	2016-08-04	648	1
深圳	叶菜类	2016-08-05	470	1
深圳	叶菜类	2016-08-06	3424	5
深圳	叶菜类	2016-08-07	2437	6
深圳	叶菜类	2016-08-09	1318	2
深圳	叶菜类	2016-08-10	1106	2
深圳	叶菜类	2016-08-11	540	2
深圳	叶菜类	2016-08-12	965	3
深圳	叶菜类	2016-08-13	4626	9
深圳	叶菜类	2016-08-14	1125	4
深圳	叶菜类	2016-08-15	4472	6
深圳	叶菜类	2016-08-16	2279	3
深圳	叶菜类	2016-08-17	1266	3
深圳	叶菜类	2016-08-19	2249	3
深圳	叶菜类	2016-08-20	4284	8
深圳	叶菜类	2016-08-21	1327	3
深圳	叶菜类	2016-08-22	2878	4
深圳	叶菜类	2016-08-23	977	2
深圳	叶菜类	2016-08-24	451	1
深圳	叶菜类	2016-08-25	608	1
深圳	叶菜类	2016-08-26	1416	2
