店铺所在地	菜品类别	消费日期	消费金额	消费数量（单个菜品）
深圳	其他水产	2016-08-05	908	1
深圳	其他水产	2016-08-19	471	1
深圳	其他水产	2016-08-27	736	1
深圳	其他水产	2016-08-31	474	1
深圳	其他肉类	2016-08-01	642	2
深圳	其他肉类	2016-08-05	908	1
深圳	其他肉类	2016-08-06	405	1
深圳	其他肉类	2016-08-11	1286	2
深圳	其他肉类	2016-08-12	450	1
深圳	其他肉类	2016-08-13	733	1
深圳	其他肉类	2016-08-17	964	2
深圳	其他肉类	2016-08-18	1053	1
深圳	其他肉类	2016-08-19	471	1
深圳	其他肉类	2016-08-20	1989	3
深圳	其他肉类	2016-08-27	736	1
深圳	其他肉类	2016-08-29	909	1
深圳	叶菜类	2016-08-02	1038	2
深圳	叶菜类	2016-08-05	1892	4
深圳	叶菜类	2016-08-06	863	2
深圳	叶菜类	2016-08-07	3506	5
深圳	叶菜类	2016-08-08	218	1
深圳	叶菜类	2016-08-09	147	1
深圳	叶菜类	2016-08-11	1044	2
深圳	叶菜类	2016-08-12	450	1
深圳	叶菜类	2016-08-13	3311	5
深圳	叶菜类	2016-08-14	738	2
深圳	叶菜类	2016-08-15	309	1
深圳	叶菜类	2016-08-16	1946	3
深圳	叶菜类	2016-08-17	482	1
深圳	叶菜类	2016-08-18	2106	2
深圳	叶菜类	2016-08-19	471	1
深圳	叶菜类	2016-08-20	593	1
深圳	叶菜类	2016-08-21	297	1
深圳	叶菜类	2016-08-22	1288	3
深圳	叶菜类	2016-08-23	1570	2
深圳	叶菜类	2016-08-27	3793	6
深圳	叶菜类	2016-08-28	277	1
深圳	叶菜类	2016-08-29	1612	2
深圳	叶菜类	2016-08-30	1960	2
深圳	叶菜类	2016-08-31	2356	4
深圳	啤酒类	2016-08-07	3120	4
深圳	啤酒类	2016-08-17	140	3
深圳	啤酒类	2016-08-20	698	1
深圳	啤酒类	2016-08-28	219	1
深圳	啤酒类	2016-08-30	4900	5
深圳	啤酒类	2016-08-31	474	1
深圳	家禽类	2016-08-01	321	1
深圳	家禽类	2016-08-03	349	1
深圳	家禽类	2016-08-07	2550	3
深圳	家禽类	2016-08-09	539	2
深圳	家禽类	2016-08-10	1254	2
深圳	家禽类	2016-08-11	401	1
深圳	家禽类	2016-08-15	143	1
深圳	家禽类	2016-08-17	482	1
深圳	家禽类	2016-08-18	2106	2
深圳	家禽类	2016-08-19	471	1
深圳	家禽类	2016-08-20	1291	2
深圳	家禽类	2016-08-22	363	1
深圳	家禽类	2016-08-23	1916	2
深圳	家禽类	2016-08-26	253	1
深圳	家禽类	2016-08-29	2521	3
深圳	家禽类	2016-08-30	980	1
深圳	果菜类	2016-08-07	992	2
深圳	果菜类	2016-08-15	143	1
深圳	果菜类	2016-08-18	1053	1
深圳	果菜类	2016-08-20	1291	2
深圳	果菜类	2016-08-21	383	1
深圳	果菜类	2016-08-22	363	1
深圳	果菜类	2016-08-23	612	1
深圳	果菜类	2016-08-31	717	1
深圳	根菜类	2016-08-07	2109	3
深圳	根菜类	2016-08-09	392	1
深圳	根菜类	2016-08-10	1254	2
深圳	根菜类	2016-08-11	401	1
深圳	根菜类	2016-08-13	733	1
深圳	根菜类	2016-08-17	140	1
深圳	根菜类	2016-08-18	1053	1
深圳	根菜类	2016-08-19	942	2
深圳	根菜类	2016-08-20	1518	3
深圳	根菜类	2016-08-21	3184	6
深圳	根菜类	2016-08-26	506	2
深圳	根菜类	2016-08-28	277	1
深圳	海藻类	2016-08-02	379	1
深圳	海藻类	2016-08-06	405	1
深圳	海藻类	2016-08-07	1664	2
深圳	海藻类	2016-08-09	129	1
深圳	海藻类	2016-08-11	401	1
深圳	海藻类	2016-08-19	942	2
深圳	海藻类	2016-08-20	1186	2
深圳	海藻类	2016-08-26	253	1
深圳	海藻类	2016-08-28	277	1
深圳	海藻类	2016-08-29	806	1
深圳	海藻类	2016-08-31	1908	3
深圳	牛肉类	2016-08-01	321	1
深圳	牛肉类	2016-08-03	349	1
深圳	牛肉类	2016-08-05	1816	2
深圳	牛肉类	2016-08-07	1474	2
深圳	牛肉类	2016-08-09	392	1
深圳	牛肉类	2016-08-11	401	1
深圳	牛肉类	2016-08-13	786	1
深圳	牛肉类	2016-08-14	383	1
深圳	牛肉类	2016-08-18	1276	2
深圳	牛肉类	2016-08-19	471	1
深圳	牛肉类	2016-08-20	2111	4
深圳	牛肉类	2016-08-23	3140	4
深圳	牛肉类	2016-08-27	378	1
深圳	牛肉类	2016-08-28	438	2
深圳	牛肉类	2016-08-29	909	1
深圳	牛肉类	2016-08-31	474	1
深圳	猪肉类	2016-08-01	466	1
深圳	猪肉类	2016-08-02	1697	3
深圳	猪肉类	2016-08-03	349	1
深圳	猪肉类	2016-08-05	2327	4
深圳	猪肉类	2016-08-06	2290	5
深圳	猪肉类	2016-08-07	5490	10
深圳	猪肉类	2016-08-08	218	1
深圳	猪肉类	2016-08-09	147	1
深圳	猪肉类	2016-08-11	643	1
深圳	猪肉类	2016-08-13	4380	6
深圳	猪肉类	2016-08-14	1121	3
深圳	猪肉类	2016-08-15	309	1
深圳	猪肉类	2016-08-16	2310	3
深圳	猪肉类	2016-08-18	2485	4
深圳	猪肉类	2016-08-19	471	1
深圳	猪肉类	2016-08-21	3162	4
深圳	猪肉类	2016-08-22	2240	4
深圳	猪肉类	2016-08-23	2874	3
深圳	猪肉类	2016-08-24	178	1
深圳	猪肉类	2016-08-25	337	1
深圳	猪肉类	2016-08-27	3458	5
深圳	猪肉类	2016-08-30	980	1
深圳	猪肉类	2016-08-31	1767	3
深圳	甜点类	2016-08-03	349	1
深圳	甜点类	2016-08-06	458	1
深圳	甜点类	2016-08-07	1378	3
深圳	甜点类	2016-08-13	733	1
深圳	甜点类	2016-08-17	140	1
深圳	甜点类	2016-08-19	471	1
深圳	甜点类	2016-08-21	2293	3
深圳	甜点类	2016-08-22	363	1
深圳	甜点类	2016-08-23	1224	2
深圳	甜点类	2016-08-27	713	3
深圳	甜点类	2016-08-29	909	1
深圳	甜点类	2016-08-30	2940	3
深圳	白酒类	2016-08-01	466	1
深圳	白酒类	2016-08-05	908	1
深圳	白酒类	2016-08-18	1053	1
深圳	白酒类	2016-08-21	955	1
深圳	白酒类	2016-08-23	958	1
深圳	白酒类	2016-08-29	909	1
深圳	米饭类	2016-08-01	787	2
深圳	米饭类	2016-08-02	1417	3
深圳	米饭类	2016-08-05	2289	3
深圳	米饭类	2016-08-06	1268	3
深圳	米饭类	2016-08-07	3178	9
深圳	米饭类	2016-08-08	218	4
深圳	米饭类	2016-08-09	668	5
深圳	米饭类	2016-08-10	761	3
深圳	米饭类	2016-08-11	401	1
深圳	米饭类	2016-08-12	900	2
深圳	米饭类	2016-08-13	2755	4
深圳	米饭类	2016-08-14	738	2
深圳	米饭类	2016-08-15	143	2
深圳	米饭类	2016-08-16	406	6
深圳	米饭类	2016-08-17	622	4
深圳	米饭类	2016-08-18	1179	4
深圳	米饭类	2016-08-19	942	3
深圳	米饭类	2016-08-20	1989	3
深圳	米饭类	2016-08-21	680	2
深圳	米饭类	2016-08-22	562	6
深圳	米饭类	2016-08-23	958	2
深圳	米饭类	2016-08-24	178	1
深圳	米饭类	2016-08-26	253	1
深圳	米饭类	2016-08-27	2219	9
深圳	米饭类	2016-08-28	715	3
深圳	米饭类	2016-08-29	1715	2
深圳	米饭类	2016-08-30	1960	2
深圳	米饭类	2016-08-31	1063	2
深圳	粥类	2016-08-03	349	1
深圳	粥类	2016-08-07	2496	3
深圳	粥类	2016-08-09	129	1
深圳	粥类	2016-08-10	627	1
深圳	粥类	2016-08-11	1044	2
深圳	粥类	2016-08-12	450	1
深圳	粥类	2016-08-13	1572	2
深圳	粥类	2016-08-14	1559	8
深圳	粥类	2016-08-16	770	7
深圳	粥类	2016-08-18	1811	7
深圳	粥类	2016-08-20	925	3
深圳	粥类	2016-08-21	2293	3
深圳	粥类	2016-08-23	612	1
深圳	粥类	2016-08-25	337	3
深圳	粥类	2016-08-27	770	1
深圳	粥类	2016-08-29	909	1
深圳	粥类	2016-08-30	2940	3
深圳	糕点类	2016-08-06	405	1
深圳	糕点类	2016-08-07	766	2
深圳	糕点类	2016-08-12	900	2
深圳	糕点类	2016-08-13	733	1
深圳	糕点类	2016-08-15	143	1
深圳	糕点类	2016-08-18	126	1
深圳	糕点类	2016-08-20	698	1
深圳	糕点类	2016-08-26	253	1
深圳	糕点类	2016-08-29	806	1
深圳	红酒类	2016-08-06	405	1
深圳	红酒类	2016-08-07	184	1
深圳	红酒类	2016-08-10	627	1
深圳	红酒类	2016-08-12	450	1
深圳	红酒类	2016-08-13	1969	3
深圳	红酒类	2016-08-15	143	1
深圳	红酒类	2016-08-16	770	1
深圳	红酒类	2016-08-20	698	1
深圳	红酒类	2016-08-27	736	1
深圳	红酒类	2016-08-29	806	1
深圳	红酒类	2016-08-31	1191	2
深圳	羊肉类	2016-08-01	1398	3
深圳	羊肉类	2016-08-02	1038	2
深圳	羊肉类	2016-08-06	458	1
深圳	羊肉类	2016-08-07	1456	2
深圳	羊肉类	2016-08-10	627	1
深圳	羊肉类	2016-08-11	401	1
深圳	羊肉类	2016-08-12	450	1
深圳	羊肉类	2016-08-13	733	1
深圳	羊肉类	2016-08-14	383	1
深圳	羊肉类	2016-08-15	309	1
深圳	羊肉类	2016-08-16	1988	4
深圳	羊肉类	2016-08-18	2106	2
深圳	羊肉类	2016-08-20	227	1
深圳	羊肉类	2016-08-21	766	2
深圳	羊肉类	2016-08-22	1124	2
深圳	羊肉类	2016-08-26	253	1
深圳	羊肉类	2016-08-27	2162	3
深圳	羊肉类	2016-08-28	277	1
深圳	羊肉类	2016-08-29	4133	5
深圳	羊肉类	2016-08-30	2940	3
深圳	羊肉类	2016-08-31	1895	3
深圳	肠粉类	2016-08-07	832	1
深圳	肠粉类	2016-08-27	756	2
深圳	肠粉类	2016-08-29	909	1
深圳	花菜类	2016-08-01	321	1
深圳	花菜类	2016-08-05	908	1
深圳	花菜类	2016-08-06	405	1
深圳	花菜类	2016-08-07	184	1
深圳	花菜类	2016-08-09	129	1
深圳	花菜类	2016-08-10	134	1
深圳	花菜类	2016-08-12	450	1
深圳	花菜类	2016-08-17	1104	3
深圳	花菜类	2016-08-18	446	2
深圳	花菜类	2016-08-19	471	1
深圳	花菜类	2016-08-20	1989	3
深圳	花菜类	2016-08-23	612	1
深圳	花菜类	2016-08-24	178	1
深圳	花菜类	2016-08-29	806	1
深圳	花菜类	2016-08-31	1908	3
深圳	茎菜类	2016-08-01	466	1
深圳	茎菜类	2016-08-08	218	1
深圳	茎菜类	2016-08-13	733	1
深圳	茎菜类	2016-08-17	140	1
深圳	茎菜类	2016-08-18	1276	2
深圳	茎菜类	2016-08-20	1884	3
深圳	茎菜类	2016-08-22	558	1
深圳	茎菜类	2016-08-23	3832	4
深圳	茎菜类	2016-08-29	2624	3
深圳	茎菜类	2016-08-30	1960	2
深圳	茎菜类	2016-08-31	948	2
深圳	虾类	2016-08-02	1318	2
深圳	虾类	2016-08-03	349	1
深圳	虾类	2016-08-05	1381	2
深圳	虾类	2016-08-06	458	1
深圳	虾类	2016-08-07	4983	9
深圳	虾类	2016-08-08	218	1
深圳	虾类	2016-08-09	784	2
深圳	虾类	2016-08-10	134	1
深圳	虾类	2016-08-11	1687	3
深圳	虾类	2016-08-13	2075	3
深圳	虾类	2016-08-14	1815	5
深圳	虾类	2016-08-15	618	2
深圳	虾类	2016-08-16	406	1
深圳	虾类	2016-08-17	482	1
深圳	虾类	2016-08-18	2485	3
深圳	虾类	2016-08-20	698	1
深圳	虾类	2016-08-21	955	1
深圳	虾类	2016-08-22	925	2
深圳	虾类	2016-08-23	2528	3
深圳	虾类	2016-08-25	674	2
深圳	虾类	2016-08-27	4069	6
深圳	虾类	2016-08-28	496	2
深圳	虾类	2016-08-29	1715	2
深圳	虾类	2016-08-30	980	1
深圳	虾类	2016-08-31	1306	2
深圳	蟹类	2016-08-01	466	1
深圳	蟹类	2016-08-05	908	1
深圳	蟹类	2016-08-06	405	1
深圳	蟹类	2016-08-07	1664	2
深圳	蟹类	2016-08-09	392	1
深圳	蟹类	2016-08-11	643	1
深圳	蟹类	2016-08-12	450	1
深圳	蟹类	2016-08-13	733	1
深圳	蟹类	2016-08-16	1176	2
深圳	蟹类	2016-08-17	482	1
深圳	蟹类	2016-08-20	698	1
深圳	蟹类	2016-08-21	1338	2
深圳	蟹类	2016-08-22	921	2
深圳	蟹类	2016-08-26	253	1
深圳	蟹类	2016-08-27	1091	3
深圳	蟹类	2016-08-29	909	1
深圳	蟹类	2016-08-31	1434	2
深圳	贝壳类	2016-08-01	466	1
深圳	贝壳类	2016-08-06	405	1
深圳	贝壳类	2016-08-07	2716	4
深圳	贝壳类	2016-08-09	129	1
深圳	贝壳类	2016-08-10	627	1
深圳	贝壳类	2016-08-13	733	1
深圳	贝壳类	2016-08-18	1179	2
深圳	贝壳类	2016-08-20	698	1
深圳	贝壳类	2016-08-21	297	1
深圳	贝壳类	2016-08-24	178	1
深圳	贝壳类	2016-08-31	474	1
深圳	面包类	2016-08-07	832	1
深圳	面包类	2016-08-10	1254	2
深圳	面包类	2016-08-18	1053	1
深圳	面包类	2016-08-19	471	1
深圳	面包类	2016-08-30	3920	4
深圳	面包类	2016-08-31	717	1
深圳	面食类	2016-08-03	349	1
深圳	面食类	2016-08-10	627	1
深圳	面食类	2016-08-22	558	5
深圳	面食类	2016-08-23	1224	2
深圳	面食类	2016-08-26	253	1
深圳	面食类	2016-08-27	756	2
深圳	面食类	2016-08-29	909	1
深圳	面食类	2016-08-30	4900	5
深圳	饮料类	2016-08-01	466	1
深圳	饮料类	2016-08-02	379	1
深圳	饮料类	2016-08-06	405	1
深圳	饮料类	2016-08-07	2240	4
深圳	饮料类	2016-08-09	129	1
深圳	饮料类	2016-08-10	627	1
深圳	饮料类	2016-08-13	786	1
深圳	饮料类	2016-08-14	355	1
