店铺所在地	菜品类别	消费日期	消费金额	消费数量（单个菜品）
广州	其他水产	2016-08-02	639	1
广州	其他水产	2016-08-08	243	1
广州	其他水产	2016-08-13	403	1
广州	其他水产	2016-08-14	734	1
广州	其他水产	2016-08-19	744	1
广州	其他水产	2016-08-20	971	1
广州	其他水产	2016-08-21	1216	2
广州	其他水产	2016-08-25	1064	1
广州	其他水产	2016-08-28	2352	3
广州	其他水产	2016-08-31	729	1
广州	其他肉类	2016-08-02	2339	3
广州	其他肉类	2016-08-04	2046	2
广州	其他肉类	2016-08-12	843	1
广州	其他肉类	2016-08-13	767	1
广州	其他肉类	2016-08-14	1557	2
广州	其他肉类	2016-08-15	170	1
广州	其他肉类	2016-08-18	409	1
广州	其他肉类	2016-08-19	744	1
广州	其他肉类	2016-08-20	374	1
广州	其他肉类	2016-08-22	347	1
广州	其他肉类	2016-08-24	331	1
广州	其他肉类	2016-08-28	2045	3
广州	叶菜类	2016-08-02	1489	2
广州	叶菜类	2016-08-03	343	1
广州	叶菜类	2016-08-04	2046	2
广州	叶菜类	2016-08-05	407	1
广州	叶菜类	2016-08-06	2012	5
广州	叶菜类	2016-08-07	3580	5
广州	叶菜类	2016-08-08	243	1
广州	叶菜类	2016-08-09	631	2
广州	叶菜类	2016-08-10	1310	4
广州	叶菜类	2016-08-12	2092	3
广州	叶菜类	2016-08-13	4540	7
广州	叶菜类	2016-08-14	734	1
广州	叶菜类	2016-08-15	560	1
广州	叶菜类	2016-08-16	229	1
广州	叶菜类	2016-08-18	3244	5
广州	叶菜类	2016-08-19	744	1
广州	叶菜类	2016-08-20	4373	6
广州	叶菜类	2016-08-21	2079	4
广州	叶菜类	2016-08-22	602	2
广州	叶菜类	2016-08-23	612	1
广州	叶菜类	2016-08-24	227	1
广州	叶菜类	2016-08-26	599	1
广州	叶菜类	2016-08-27	433	1
广州	叶菜类	2016-08-28	5707	9
广州	叶菜类	2016-08-31	2349	3
广州	啤酒类	2016-08-02	260	2
广州	啤酒类	2016-08-04	1023	4
广州	啤酒类	2016-08-09	224	4
广州	啤酒类	2016-08-26	599	1
广州	家禽类	2016-08-02	260	1
广州	家禽类	2016-08-04	1023	1
广州	家禽类	2016-08-05	462	2
广州	家禽类	2016-08-10	1660	2
广州	家禽类	2016-08-11	1184	2
广州	家禽类	2016-08-12	739	1
广州	家禽类	2016-08-13	1782	3
广州	家禽类	2016-08-14	4760	6
