店铺所在地	菜品类别	消费日期	消费金额	消费数量（单个菜品）
佛山	其他水产	2016-08-06	238	1
佛山	其他水产	2016-08-08	319	1
佛山	其他水产	2016-08-10	265	1
佛山	其他肉类	2016-08-21	331	1
佛山	其他肉类	2016-08-22	303	1
佛山	叶菜类	2016-08-01	263	1
佛山	叶菜类	2016-08-04	1626	2
佛山	叶菜类	2016-08-06	1971	3
佛山	叶菜类	2016-08-07	1011	1
佛山	叶菜类	2016-08-10	426	1
佛山	叶菜类	2016-08-21	2172	4
佛山	叶菜类	2016-08-27	998	2
佛山	家禽类	2016-08-07	2022	2
佛山	家禽类	2016-08-18	474	2
佛山	果菜类	2016-08-18	474	1
佛山	果菜类	2016-08-22	303	1
佛山	根菜类	2016-08-07	1011	1
佛山	根菜类	2016-08-10	426	1
佛山	海藻类	2016-08-06	238	1
佛山	海藻类	2016-08-07	1011	1
佛山	海藻类	2016-08-10	426	1
佛山	海藻类	2016-08-22	303	1
佛山	牛肉类	2016-08-04	813	1
佛山	牛肉类	2016-08-06	238	1
佛山	牛肉类	2016-08-18	474	1
佛山	猪肉类	2016-08-04	813	1
佛山	猪肉类	2016-08-06	3285	5
佛山	猪肉类	2016-08-07	1011	1
佛山	猪肉类	2016-08-18	474	1
佛山	猪肉类	2016-08-21	4755	6
佛山	猪肉类	2016-08-27	2495	5
佛山	甜点类	2016-08-08	319	3
佛山	白酒类	2016-08-04	813	1
佛山	白酒类	2016-08-21	1555	2
佛山	米饭类	2016-08-01	526	4
佛山	米饭类	2016-08-04	813	1
佛山	米饭类	2016-08-06	895	2
佛山	米饭类	2016-08-07	2022	2
佛山	米饭类	2016-08-08	319	3
佛山	米饭类	2016-08-10	426	2
佛山	米饭类	2016-08-18	948	2
佛山	米饭类	2016-08-21	755	1
佛山	米饭类	2016-08-22	303	1
佛山	米饭类	2016-08-27	499	1
佛山	粥类	2016-08-06	657	1
佛山	粥类	2016-08-07	2022	2
佛山	粥类	2016-08-10	265	1
佛山	粥类	2016-08-18	948	2
佛山	粥类	2016-08-21	1600	2
佛山	糕点类	2016-08-10	852	2
佛山	糕点类	2016-08-21	800	1
佛山	红酒类	2016-08-07	2022	2
佛山	红酒类	2016-08-10	265	1
佛山	羊肉类	2016-08-01	789	3
佛山	羊肉类	2016-08-04	813	1
佛山	羊肉类	2016-08-08	319	1
佛山	羊肉类	2016-08-10	691	2
佛山	羊肉类	2016-08-21	2172	4
佛山	花菜类	2016-08-04	2439	3
佛山	花菜类	2016-08-06	238	1
佛山	花菜类	2016-08-07	1011	1
佛山	花菜类	2016-08-18	948	2
佛山	花菜类	2016-08-22	303	1
佛山	茎菜类	2016-08-07	1011	1
佛山	茎菜类	2016-08-10	852	2
佛山	茎菜类	2016-08-21	800	1
佛山	虾类	2016-08-01	263	1
佛山	虾类	2016-08-04	940	2
佛山	虾类	2016-08-06	657	1
佛山	虾类	2016-08-07	2022	2
佛山	虾类	2016-08-08	319	1
佛山	虾类	2016-08-10	265	1
佛山	虾类	2016-08-18	948	2
佛山	虾类	2016-08-21	3486	5
佛山	虾类	2016-08-27	499	1
佛山	蟹类	2016-08-10	426	1
佛山	蟹类	2016-08-21	755	1
佛山	蟹类	2016-08-22	303	1
佛山	贝壳类	2016-08-06	238	1
佛山	贝壳类	2016-08-07	1011	1
佛山	面包类	2016-08-10	265	1
佛山	面食类	2016-08-07	1011	1
佛山	面食类	2016-08-10	691	2
佛山	面食类	2016-08-21	755	1
佛山	饮料类	2016-08-01	263	1
佛山	饮料类	2016-08-04	127	1
佛山	饮料类	2016-08-06	895	2
佛山	饮料类	2016-08-08	319	3
佛山	饮料类	2016-08-10	426	1
佛山	鱼类	2016-08-04	813	1
佛山	鱼类	2016-08-06	657	1
佛山	鱼类	2016-08-07	2022	2
佛山	鱼类	2016-08-08	319	1
佛山	鱼类	2016-08-10	426	1
佛山	鱼类	2016-08-21	1510	2
佛山	鱼类	2016-08-22	303	1
佛山	鱼类	2016-08-27	998	2
